46,140,-703,89305
15,62,-859,89336
15,203,-1140,89358
140,203,-750,89370
140,218,-984,89395
109,265,-937,89415
140,484,-1328,89437
234,265,-984,89458
281,421,-937,89479
203,312,-984,89510
156,328,-1062,89531
140,343,-1156,89551
-15,296,-1218,89572
109,343,-1140,89594
-140,359,-1078,89615
-109,281,-1250,89637
0,281,-1203,89658
62,296,-1312,89678
0,343,-1390,89699
0,375,-1484,89724
0,390,-1453,89745
78,281,-1312,89766
203,203,-1203,89787
281,125,-1125,89807
265,109,-953,89828
390,93,-718,89850
375,140,-531,89870
500,31,-359,89892
531,15,-296,89913
468,78,-171,89934
468,109,-46,89965
500,93,78,89987
453,78,171,90008
375,140,93,90029
312,171,93,90043
281,203,15,90064
218,109,-203,90085
140,15,-343,90106
125,-78,-593,90127
109,-109,-906,90148
15,15,-1125,90179
15,109,-1265,90200
31,62,-1609,90221
-46,-93,-1843,90242
31,-93,-1890,90263
78,-31,-1890,90284
15,187,-1796,90305
-15,312,-1750,90326
0,250,-1875,90347
-78,156,-2000,90372
-93,93,-2000,90394
-46,31,-1968,90414
-15,31,-1781,90435
-15,15,-1625,90456
-31,-78,-1421,90476
-15,-109,-1140,90498
0,-93,-859,90519
46,15,-750,90540
78,0,-562,90560
109,0,-421,90581
187,15,-203,90612
250,125,-15,90633
281,156,125,90645
156,234,171,90666
156,203,187,90687
218,171,187,90712
234,62,93,90734
171,15,-15,90754
171,46,-62,90775
203,62,-109,90796
140,93,-203,90827
78,78,-375,90847
31,31,-531,90868
46,62,-718,90889
93,31,-1000,90911
0,46,-1093,90932
-78,46,-1312,90953
-31,15,-1546,90974
0,46,-1609,90995
0,46,-1687,91016
0,-46,-1906,91041
31,-31,-1921,91061
78,31,-1781,91082
125,93,-1687,91103
93,78,-1671,91123
62,31,-1640,91144
-93,125,-1750,91166
-62,93,-1812,91187
0,-93,-1953,91208
0,-203,-1937,91229
-62,-156,-1843,91250
-93,-109,-1562,91270
-46,0,-1343,91291
-46,15,-1078,91313
0,-15,-937,91334
31,15,-859,91360
62,46,-687,91380
109,125,-484,91402
140,171,-453,91423
187,171,-390,91444
218,234,-296,91464
218,281,-203,91485
187,296,-171,91506
187,312,-187,91537
140,296,-234,91559
187,234,-187,91580
203,156,-140,91601
234,156,-78,91622
218,171,-125,91643
203,281,-171,91664
187,312,-187,91675
109,203,-328,91710
125,203,-437,91731
78,140,-453,91752
93,93,-484,91772
125,62,-562,91793
125,0,-859,91814
0,-31,-1078,91835
-15,-78,-1296,91856
-31,31,-1437,91876
0,78,-1625,91897
-46,-46,-1812,91919
-31,-156,-2000,91940
-15,-125,-2000,91962
93,-31,-1906,91983
15,78,-1921,92003
-78,125,-1984,92029
-125,171,-1921,92050
-140,187,-1859,92071
-140,171,-1890,92092
-171,125,-1843,92113
-78,31,-1718,92133
-46,-93,-1421,92164
-46,-93,-1265,92186
0,-125,-1015,92208
46,-109,-890,92229
46,-78,-703,92249
140,31,-546,92270
140,15,-453,92292
187,31,-375,92313
156,93,-250,92334
203,250,-93,92359
156,265,-62,92380
156,203,-109,92400
187,140,-109,92421
218,93,-78,92442
265,62,31,92464
250,31,15,92484
265,31,-62,92505
218,46,-140,92526
125,62,-296,92547
62,125,-437,92568
31,156,-531,92589
-46,203,-640,92609
-93,31,-828,92631
0,-62,-1015,92652
140,93,-1234,92677
